ds;y;Keys
01-2018;0.0;97215-80002820-DCP PMM Kalkunbryst paprika 6x500g..???
09-2019;582.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004251-DCP Hamburgerryg 6x2/250g duopak..???
10-2019;515.2;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004252-DCP Hamburgerryg 3% 6x2/250g duopak..???
11-2019;453.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004254-DCP Kalkunbryst 6x2/250g duopak..???
12-2019;386.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004255-DCP Kamsteg 6x2/250g duopak..???
13-2019;442.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004256-DCP Kyllingebryst 6x2/250g duopak..???
14-2019;610.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004257-DCP Rullep?lse 6x2/250g duopak..??
15-2019;492.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004259-DCP R?get filet 6x2/250g duopak..??
16-2019;408.8;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004260-DCP Saltk?d 6x2/250g duopak..??
17-2019;470.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004262-DCP Skinke 6x500g..???
18-2019;453.6;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004263-DCP Skinke 6x2/250g duopak..???
19-2019;442.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004264-DCP Skinke Firkantet 6x2/250g duopak..???
20-2019;470.4;97205-70151305-DCP Rullep?lse 4 x 1200-1600g..??
01-2018;0.0;97215-80004275-DCP Roastbeef 6x2/250g duopak..???
